ride_id,trip_date,pickup_timestamp,dropoff_timestamp,driver_id,customer_id,pickup_city,drop_city,vehicle_type,payment_mode,trip_status,distance_km,fare_amount,surge_multiplier,driver_rating,customer_rating,luggage_count,fuel_type,booking_channel,load_timestamp
200000,2025-02-08,2025-02-08 01:14:00,2025-02-08 02:04:00,D8708,C63617,Mumbai,Bengaluru,Sedan,Cash,No Show,32.81,631.09,1.5,4.7,,4,CNG,App,2026-06-27 14:11:36.217968
200001,2025-02-17,2025-02-17 21:33:00,2025-02-17 22:44:00,D9978,C71034,Chennai,Mumbai,Mini,UPI,Completed,27.05,425.1,1.2,3.2,5.0,3,CNG,Corporate,2026-06-27 14:11:36.218018
200002,2025-02-25,2025-02-25 18:22:00,2025-02-25 18:51:00,D1631,C85823,Chennai,Bengaluru,Bike,Debit Card,Cancelled,30.3,1113.17,1.2,3.7,3.4,0,EV,App,2026-06-27 14:11:36.218038
200003,2025-02-12,2025-02-12 06:32:00,2025-02-12 07:30:00,D9441,C49002,Delhi,Chennai,Mini,Debit Card,Cancelled,10.85,1356.56,1.5,3.5,3.9,0,Petrol,App,2026-06-27 14:11:36.218063
200004,2025-02-26,2025-02-26 23:01:00,2025-02-26 23:20:00,D8888,C25922,Hyderabad,Bengaluru,Mini,Wallet,Completed,19.0,823.73,1.0,4.3,3.6,2,Petrol,Corporate,2026-06-27 14:11:36.218095
200005,2025-02-22,2025-02-22 05:13:00,2025-02-22 05:47:00,D1041,C86463,Bengaluru,Chennai,Sedan,Debit Card,Completed,30.38,665.73,1.2,3.4,3.0,2,Petrol,Corporate,2026-06-27 14:11:36.218117
200005,2025-02-22,2025-02-22 12:54:00,2025-02-22 13:01:00,D3347,C22717,Pune,Bengaluru,SUV,UPI,Completed,12.05,731.25,1.2,4.2,3.1,2,CNG,App,2026-06-27 14:11:36.218136
200007,2025-02-28,2025-02-28 23:50:00,2025-03-01 00:44:00,D2155,C23457,Bengaluru,Hyderabad,Auto,Debit Card,Completed,34.89,875.35,1.5,4.1,4.6,3,CNG,App,2026-06-27 14:11:36.218156
200008,2025-02-27,2025-02-27 02:59:00,2025-02-27 03:42:00,D5082,C71388,Mumbai,Chennai,Bike,UPI,No Show,24.26,149.76,1.2,4.2,4.9,4,Diesel,App,2026-06-27 14:11:36.218173
200009,2025-02-16,2025-02-16 01:01:00,2025-02-16 02:06:00,D1523,C22667,Hyderabad,Hyderabad,Mini,Debit Card,Cancelled,30.6,1098.32,1.2,4.1,3.7,0,EV,App,2026-06-27 14:11:36.218190
200010,2025-02-12,2025-02-12 21:22:00,2025-02-12 22:23:00,D4776,C14365,Hyderabad,Bengaluru,Mini,Wallet,No Show,31.22,616.54,1.0,3.0,4.4,3,CNG,App,2026-06-27 14:11:36.218207
200011,2025-02-01,2025-02-01 15:44:00,2025-02-01 15:56:00,D1351,C88411,Delhi,Chennai,Auto,Credit Card,No Show,10.28,803.09,2.0,4.0,3.7,4,EV,App,2026-06-27 14:11:36.218225
